n,G,time_sec,peak_kb,mode
1,1,0.000022,0.61,main
1,2,0.000030,1.17,main
1,3,0.000058,1.47,main
1,1,0.000014,0.86,extra
1,2,0.000019,1.14,extra
1,3,0.000024,1.20,extra
1,4,0.000028,1.25,extra
1,5,0.000033,1.34,extra
1,6,0.000039,1.39,extra
1,7,0.000044,1.45,extra
1,8,0.000050,1.50,extra
1,9,0.000052,1.62,extra
1,10,0.000053,1.67,extra
1,11,0.000059,1.73,extra
1,12,0.000063,1.78,extra
1,13,0.000068,1.84,extra
1,14,0.000073,1.89,extra
1,15,0.000077,1.95,extra
1,16,0.000082,2.00,extra
2,1,0.000015,0.61,main
2,2,0.000024,1.26,main
2,3,0.000050,1.58,main
2,1,0.000012,0.95,extra
2,2,0.000017,1.26,extra
2,3,0.000023,1.37,extra
2,4,0.000029,1.48,extra
2,5,0.000034,1.62,extra
2,6,0.000040,1.67,extra
2,7,0.000046,1.73,extra
2,8,0.000052,1.78,extra
2,9,0.000058,1.95,extra
2,10,0.000063,2.01,extra
2,11,0.000069,2.12,extra
2,12,0.000075,2.17,extra
2,13,0.000080,2.28,extra
2,14,0.000086,2.34,extra
2,15,0.000091,2.45,extra
2,16,0.000101,2.50,extra
4,1,0.000014,0.62,main
4,2,0.000029,2.16,main
4,3,0.000058,1.85,main
4,1,0.000017,2.25,extra
4,2,0.000023,1.82,extra
4,3,0.000030,1.59,extra
4,4,0.000031,1.54,extra
4,5,0.000040,1.70,extra
4,6,0.000049,1.76,extra
4,7,0.000056,1.81,extra
4,8,0.000066,1.92,extra
4,9,0.000082,2.09,extra
4,10,0.000080,2.15,extra
4,11,0.000087,2.26,extra
4,12,0.000110,2.37,extra
4,13,0.000115,2.48,extra
4,14,0.000124,2.53,extra
4,15,0.000133,2.64,extra
4,16,0.000138,2.75,extra
8,1,0.000014,0.69,main
8,2,0.000051,8.61,main
8,3,0.000066,4.90,main
8,1,0.000059,19.29,extra
8,2,0.000039,6.56,extra
8,3,0.000038,4.44,extra
8,4,0.000053,4.69,extra
8,5,0.000060,2.56,extra
8,6,0.000072,2.60,extra
8,7,0.000082,2.38,extra
8,8,0.000076,2.20,extra
8,9,0.000085,2.19,extra
8,10,0.000096,2.27,extra
8,11,0.000106,2.38,extra
8,12,0.000116,2.49,extra
8,13,0.000126,2.60,extra
8,14,0.000139,2.71,extra
8,15,0.000146,2.82,extra
8,16,0.000154,2.93,extra
16,1,0.000014,0.81,main
16,2,0.000083,25.77,main
16,3,0.000093,16.94,main
16,1,0.000324,74.45,extra
16,2,0.000098,24.09,extra
16,3,0.000083,16.71,extra
16,4,0.000081,7.21,extra
16,5,0.000111,7.33,extra
16,6,0.000092,4.90,extra
16,7,0.000116,5.74,extra
16,8,0.000138,5.45,extra
16,9,0.000151,5.59,extra
16,10,0.000176,3.52,extra
16,11,0.000187,3.61,extra
16,12,0.000192,3.20,extra
16,13,0.000298,3.66,extra
16,14,0.000271,3.25,extra
16,15,0.000230,3.37,extra
16,16,0.000226,3.08,extra
32,1,0.000022,1.06,main
32,2,0.000554,67.08,main
32,3,0.000407,26.14,main
32,1,0.002471,122.14,extra
32,2,0.000781,67.41,extra
32,3,0.000307,25.38,extra
32,4,0.000219,25.30,extra
32,5,0.000190,17.86,extra
32,6,0.000212,17.82,extra
32,7,0.000180,17.34,extra
32,8,0.000208,14.48,extra
32,9,0.000236,7.88,extra
32,10,0.000223,7.91,extra
32,11,0.000225,7.90,extra
32,12,0.000258,8.04,extra
32,13,0.000288,8.13,extra
32,14,0.000325,8.04,extra
32,15,0.000307,6.38,extra
32,16,0.000388,6.46,extra
64,1,0.000025,1.56,main
64,2,0.001756,107.24,main
64,3,0.001423,70.33,main
64,1,0.009036,308.27,extra
64,2,0.003295,109.10,extra
64,3,0.001883,69.12,extra
64,4,0.001111,68.90,extra
64,5,0.000734,54.76,extra
64,6,0.000539,26.13,extra
64,7,0.000417,26.03,extra
64,8,0.000385,25.99,extra
64,9,0.000403,25.98,extra
64,10,0.000424,18.76,extra
64,11,0.000381,18.78,extra
64,12,0.000336,18.17,extra
64,13,0.000392,18.84,extra
64,14,0.000418,18.79,extra
64,15,0.000424,17.83,extra
64,16,0.000406,18.38,extra
128,1,0.000020,2.56,main
128,2,0.008199,284.71,main
128,3,0.007329,112.21,main
128,1,0.038582,502.42,extra
128,2,0.016692,286.82,extra
128,3,0.010201,110.12,extra
128,4,0.006020,110.15,extra
128,5,0.004275,72.18,extra
128,6,0.003682,69.98,extra
128,7,0.002590,69.84,extra
128,8,0.002015,70.01,extra
128,9,0.001688,68.88,extra
128,10,0.001303,55.31,extra
128,11,0.001232,27.62,extra
128,12,0.001010,27.62,extra
128,13,0.000918,27.45,extra
128,14,0.000922,27.66,extra
128,15,0.000874,27.52,extra
128,16,0.000860,27.52,extra
256,1,0.000021,4.56,main
256,2,0.036281,488.32,main
256,3,0.032938,299.07,main
256,1,0.158122,1343.70,extra
256,2,0.075300,496.29,extra
256,3,0.048849,295.30,extra
256,4,0.031143,288.87,extra
256,5,0.024447,115.62,extra
256,6,0.019494,112.45,extra
256,7,0.014040,112.41,extra
256,8,0.011671,112.68,extra
256,9,0.010852,76.84,extra
256,10,0.008773,74.30,extra
256,11,0.007266,72.88,extra
256,12,0.006682,72.40,extra
256,13,0.005684,72.79,extra
256,14,0.004526,72.95,extra
256,15,0.004501,72.54,extra
256,16,0.003833,72.30,extra
512,1,0.000156,16.56,main
512,2,0.171345,1356.26,main
512,3,0.143385,590.41,main
512,1,0.626634,2304.77,extra
512,2,0.326234,1364.58,extra
512,3,0.210430,575.30,extra
512,4,0.157470,508.36,extra
512,5,0.118601,346.10,extra
512,6,0.098778,307.50,extra
512,7,0.079660,307.21,extra
512,8,0.067646,301.14,extra
512,9,0.060653,302.07,extra
512,10,0.052257,248.62,extra
512,11,0.045510,125.79,extra
512,12,0.040861,125.36,extra
512,13,0.036309,125.42,extra
512,14,0.032802,125.32,extra
512,15,0.027363,125.37,extra
512,16,0.026279,125.39,extra
1024,1,0.000422,40.56,main
1024,2,0.696552,2329.89,main
1024,3,0.600952,1604.97,main
1024,1,2.673872,5893.02,extra
1024,2,1.332226,2368.09,extra
1024,3,0.896910,1569.76,extra
1024,4,0.681917,1388.54,extra
1024,5,0.533066,1140.86,extra
1024,6,0.438675,608.58,extra
1024,7,0.377051,552.23,extra
1024,8,0.319544,533.86,extra
1024,9,0.280841,533.67,extra
1024,10,0.247640,375.66,extra
1024,11,0.221740,353.46,extra
1024,12,0.206915,335.19,extra
1024,13,0.176183,332.73,extra
1024,14,0.169547,332.60,extra
1024,15,0.151630,332.59,extra
1024,16,0.137667,326.36,extra
2048,1,0.000931,88.56,main
2048,2,2.850088,5942.76,main
2048,3,2.527856,2815.73,main
2048,1,11.342051,9997.43,extra
2048,2,5.870907,5995.82,extra
2048,3,3.900236,2745.27,extra
2048,4,2.899234,2418.03,extra
2048,5,2.286176,1792.86,extra
2048,6,1.900722,1625.57,extra
2048,7,1.624836,1505.28,extra
2048,8,1.415943,1437.53,extra
2048,9,1.248064,1440.18,extra
2048,10,1.110229,1190.79,extra
2048,11,1.010531,699.25,extra
2048,12,0.904515,662.36,extra
2048,13,0.829899,630.64,extra
2048,14,0.802471,603.87,extra
2048,15,0.723081,582.65,extra
2048,16,0.670772,582.64,extra
4096,1,0.002089,184.96,main
4096,2,11.777814,10092.55,main
4096,3,10.716227,6964.00,main
4096,1,46.080915,20123.49,extra
4096,2,22.947690,10276.64,extra
4096,3,15.566573,6824.70,extra
4096,4,11.815434,6093.30,extra
4096,5,9.244985,4962.61,extra
4096,6,7.611781,2835.04,extra
4096,7,6.485616,2597.07,extra
4096,8,5.737858,2513.54,extra
4096,9,5.048115,2512.15,extra
4096,10,4.519028,1887.84,extra
4096,11,4.129567,1796.82,extra
4096,12,3.765318,1721.56,extra
4096,13,3.468157,1657.05,extra
4096,14,3.191236,1582.16,extra
4096,15,2.963020,1538.86,extra
4096,16,2.839289,1537.83,extra
